Best Array,Sample Name
a550810-4323468-051118-541_F07,Monack_01
a550810-4323468-051118-541_F08,Monack_02
a550810-4323468-051118-541_F09,Monack_03
a550810-4323468-051118-541_F10,Monack_04
a550810-4323468-051118-541_F11,Monack_05
a550810-4323468-051118-541_F12,Monack_06
a550810-4323468-051118-541_G01,Monack_07
a550810-4323468-051118-541_G02,Monack_08
a550810-4323468-051118-541_G03,Monack_09
a550810-4323468-051118-541_G04,Monack_10
a550810-4323468-051118-541_G05,Monack_11
a550810-4323468-051118-541_G06,Monack_12
a550810-4323468-051118-541_G07,Monack_13
a550810-4323468-051118-541_G08,Monack_14
a550810-4323468-051118-541_G09,Monack_15
a550810-4323468-051118-541_G10,Monack_16
a550810-4323468-051118-541_G11,Monack_17
a550810-4323468-051118-541_G12,Monack_18
a550810-4323468-051118-541_H01,Monack_19
a550810-4323468-051118-541_H02,Monack_20
a550810-4323468-051118-541_H03,Monack_21
a550810-4323468-051118-541_H04,Monack_22
a550810-4323468-051118-541_H05,Monack_23
a550810-4323468-051118-541_H06,Monack_24
a550810-4323468-051118-541_H07,Monack_25
a550810-4323468-051118-541_H08,Monack_26
a550810-4323468-051118-541_H09,Monack_27
a550810-4323468-051118-541_H10,Monack_28
a550810-4323468-051118-541_H11,Monack_29
a550810-4323468-051118-541_H12,Monack_30
a550810-4323468-051118-543_G05,Monack_31
a550810-4323468-051118-542_G06,Monack_32
a550810-4323468-051118-542_G07,Monack_33
a550810-4323468-051118-542_G08,Monack_34
a550810-4323468-051118-543_G09,Monack_35
a550810-4323468-051118-542_G10,Monack_36
a550810-4323468-051118-542_G11,Monack_37
a550810-4323468-051118-543_G12,Monack_38
a550810-4323468-051118-542_H01,Monack_39
a550810-4323468-051118-542_H02,Monack_40
a550810-4323468-051118-542_H03,Monack_41
a550810-4323468-051118-543_H04,Monack_42
a550810-4323468-051118-542_H05,Monack_43
a550810-4323468-051118-543_H06,Monack_44
a550810-4323468-051118-543_H07,Monack_45
a550810-4323468-051118-543_H08,Monack_46
a550810-4323468-051118-543_H09,Monack_47
a550810-4323468-051118-542_H10,Monack_48
a550810-4323468-051118-542_H11,Monack_49
a550810-4323468-051118-543_H12,Monack_50
a550810-4323468-051118-543_G04,Monack_Control129
a550810-4323468-051118-540_G05,Monack_M1
a550810-4323468-051118-540_H02,Monack_M10
a550810-4323468-051118-540_H03,Monack_M11
a550810-4323468-051118-540_H04,Monack_M12
a550810-4323468-051118-540_H05,Monack_M13
a550810-4323468-051118-540_H06,Monack_M14
a550810-4323468-051118-540_H07,Monack_M15
a550810-4323468-051118-540_H08,Monack_M16
a550810-4323468-051118-540_H09,Monack_M17
a550810-4323468-051118-540_H10,Monack_M18
a550810-4323468-051118-540_H11,Monack_M19
a550810-4323468-051118-540_G06,Monack_M2
a550810-4323468-051118-540_H12,Monack_M20
a550810-4350750-012419-163_G04,Monack_M21
a550810-4350750-012419-163_G05,Monack_M22
a550810-4350750-012419-163_G06,Monack_M23
a550810-4350750-012419-163_G07,Monack_M24
a550810-4350750-012419-163_G08,Monack_M25
a550810-4350750-012419-163_G09,Monack_M26
a550810-4350750-012419-163_G10,Monack_M27
a550810-4350750-012419-163_G11,Monack_M28
a550810-4350750-012419-163_G12,Monack_M29
a550810-4323468-051118-540_G07,Monack_M3
a550810-4350750-012419-163_H01,Monack_M30
a550810-4350750-012419-163_H02,Monack_M31
a550810-4350750-012419-163_H03,Monack_M32
a550810-4350750-012419-163_H04,Monack_M33
a550810-4350750-012419-163_H05,Monack_M34
a550810-4350750-012419-163_H06,Monack_M35
a550810-4350750-012419-163_H07,Monack_M36
a550810-4350750-012419-163_H08,Monack_M37
a550810-4350750-012419-163_H09,Monack_M38
a550810-4350750-012419-163_H10,Monack_M39
a550810-4323468-051118-540_G08,Monack_M4
a550810-4350750-012419-163_H11,Monack_M40
a550810-4350750-012419-163_H12,Monack_M41
a550810-4350750-012419-164_G03,Monack_M42
a550810-4350750-012419-164_G04,Monack_M43
a550810-4350750-012419-164_G05,Monack_M44
a550810-4350750-012419-164_G06,Monack_M45
a550810-4350750-012419-164_G07,Monack_M46
a550810-4350750-012419-164_G08,Monack_M47
a550810-4350750-012419-164_G09,Monack_M48
a550810-4350750-012419-164_G10,Monack_M49
a550810-4323468-051118-540_G09,Monack_M5
a550810-4350750-012419-164_G11,Monack_M50
a550810-4323468-051118-540_G10,Monack_M6
a550810-4323468-051118-540_G11,Monack_M7
a550810-4323468-051118-540_G12,Monack_M8
a550810-4323468-051118-540_H01,Monack_M9
a550810-4323468-051118-541_A01,Schneider_A01
